[WARNING] 2026-05-24 08:57:24,199 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:25,206 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:26,216 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:27,223 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:28,234 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:29,244 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:30,254 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:31,258 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:32,263 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:33,271 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:34,283 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:35,294 | Worker unhealthy | name=CameraWorker | reason=failed
[WARNING] 2026-05-24 08:57:36,296 | Worker unhealthy | name=CameraWorker | reason=failed
